Duration,10-Yr,25-Yr,50-Yr,100-Yr,500-Yr
15-Min,1.74,2.12,2.41,2.72,3.48
1-Hr,3.34,4.08,4.64,5.25,6.98
2-Hr,4.43,5.6,6.56,7.64,10.6
3-Hr,5.15,6.67,7.96,9.42,13.4
6-Hr,6.44,8.54,10.4,12.5,18.2
12-Hr,7.75,10.3,12.6,15.2,22.8
1-Day,9.14,12.3,14.9,18,27.2
