Duration,10-Yr,25-Yr,50-Yr,100-Yr,500-Yr
15-Min,1.5,1.7,1.9,2.1,2.6
1-Hr,2.9,3.4,3.8,4.3,5.5
2-Hr,3.6,4.3,5,5.7,7.6
3-Hr,4.1,5,5.8,6.7,9.2
6-Hr,5.1,6.4,7.6,8.9,12.8
12-Hr,6.2,7.8,9.2,10.8,15.5
1-Day,7.6,9.6,11.3,13.2,18.9
