Duration,10-Yr,25-Yr,50-Yr,100-Yr,500-Yr
15-Min,1.67,2,2.25,2.49,3.12
1-Hr,3.18,3.82,4.29,4.78,6.23
2-Hr,4.2,5.21,6.01,6.89,9.56
3-Hr,4.87,6.18,7.25,8.48,12.2
6-Hr,6.06,7.9,9.46,11.3,16.7
12-Hr,7.27,9.61,11.6,14,20.9
1-Day,8.57,11.4,14,16.9,25
