Duration,10-Yr,25-Yr,50-Yr,100-Yr,500-Yr
15-Min,1.5,1.7,1.9,2.1,2.5
1-Hr,2.9,3.4,3.8,4.3,5.5
2-Hr,3.7,4.4,5,5.7,7.7
3-Hr,4.2,5.1,5.9,6.8,9.4
6-Hr,5.3,6.6,7.7,9.1,13.1
12-Hr,6.4,8,9.5,11.1,15.9
1-Day,7.8,9.8,11.6,13.5,19.3
