Duration,10-Yr,25-Yr,50-Yr,100-Yr,500-Yr
15-Min,1.5,1.8,2,2.1,2.5
1-Hr,2.8,3.4,3.8,4.3,5.5
2-Hr,3.5,4.2,4.9,5.7,7.7
3-Hr,3.9,4.8,5.6,6.8,9.4
6-Hr,4.9,6.1,7.2,9.1,13.1
12-Hr,5.9,7.4,8.7,11.1,15.9
1-Day,7.1,9,10.6,13.5,19.3
